subject_id,path,rawdata_shape,label_values,raw_field,label_field
27,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-27/sub-27_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
28,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-28/sub-28_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
29,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-29/sub-29_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
30,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-30/sub-30_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
31,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-31/sub-31_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
32,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-32/sub-32_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
33,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-33/sub-33_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
34,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-34/sub-34_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
35,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-35/sub-35_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
36,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-36/sub-36_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
37,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-37/sub-37_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
38,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-38/sub-38_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
39,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-39/sub-39_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
40,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-40/sub-40_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
41,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-41/sub-41_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
42,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-42/sub-42_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
43,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-43/sub-43_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
44,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-44/sub-44_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
45,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-45/sub-45_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
46,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-46/sub-46_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
47,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-47/sub-47_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
48,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-48/sub-48_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
49,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-49/sub-49_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
50,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-50/sub-50_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
