subject_id,path,raw_field,label_field,rawdata_shape,labels_shape,n_trials,class_counts,samples_per_trial_after_resample,crop_start_sample,crop_stop_sample,window_samples,effective_sfreq
25,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-25/sub-25_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
26,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-26/sub-26_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
27,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-27/sub-27_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
28,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-28/sub-28_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
29,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-29/sub-29_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
30,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-30/sub-30_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
31,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-31/sub-31_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
32,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-32/sub-32_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
33,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-33/sub-33_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
34,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-34/sub-34_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
35,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-35/sub-35_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
36,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-36/sub-36_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
37,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-37/sub-37_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
38,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-38/sub-38_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
39,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-39/sub-39_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
40,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-40/sub-40_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
41,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-41/sub-41_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
42,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-42/sub-42_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
43,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-43/sub-43_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
44,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-44/sub-44_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
45,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-45/sub-45_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
46,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-46/sub-46_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
47,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-47/sub-47_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
48,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-48/sub-48_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
49,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-49/sub-49_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
50,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-50/sub-50_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
