subject_id,path,rawdata_shape,labels_shape,label_counts_raw,raw_field,label_field
26,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-26/sub-26_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
27,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-27/sub-27_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
28,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-28/sub-28_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
29,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-29/sub-29_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
30,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-30/sub-30_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
31,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-31/sub-31_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
32,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-32/sub-32_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
33,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-33/sub-33_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
34,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-34/sub-34_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
35,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-35/sub-35_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
36,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-36/sub-36_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
37,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-37/sub-37_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
38,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-38/sub-38_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
39,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-39/sub-39_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
40,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-40/sub-40_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
41,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-41/sub-41_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
42,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-42/sub-42_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
43,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-43/sub-43_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
44,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-44/sub-44_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
45,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-45/sub-45_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
46,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-46/sub-46_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
47,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-47/sub-47_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
48,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-48/sub-48_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
49,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-49/sub-49_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
50,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-50/sub-50_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
