subject_id,source_path,source_sha256,n_trials,class_0,class_1,input_shape,marker_min,marker_max
sub-11,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-11/sub-11_task-motor-imagery_eeg.mat,e0ec023632ea6655b215ee6da295d7263e78aaf2bf22e0cb065b9f2fef84fc0b,40,20,20,"[40, 29, 1000]",1002,1011
sub-12,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-12/sub-12_task-motor-imagery_eeg.mat,704ad4d4d01c707a97f3d13331c4773aa1faac00b4f6171d90e6ddfc41ab2008,40,20,20,"[40, 29, 1000]",1001,1013
sub-13,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-13/sub-13_task-motor-imagery_eeg.mat,ff72664ffc9383526964ebf99d91eee563bf3ebd58d53f89eaa245bf48ce2e42,40,20,20,"[40, 29, 1000]",1,1004
sub-14,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-14/sub-14_task-motor-imagery_eeg.mat,8a3e16fbf096ae2f7ede472736ee851002f0317b7ae140d8892c0ff0b8b824f9,40,20,20,"[40, 29, 1000]",1,1010
sub-15,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-15/sub-15_task-motor-imagery_eeg.mat,cc526fa8970f15351d003dc70f5048e9c248c55cecf7b99e9f687f8c324be0ef,40,20,20,"[40, 29, 1000]",1002,1011
sub-16,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-16/sub-16_task-motor-imagery_eeg.mat,b79433bdfbfcee55f0ed1f4a7a3f156186813c4d79b60d74064737b14455a0c6,40,20,20,"[40, 29, 1000]",1008,1010
sub-17,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-17/sub-17_task-motor-imagery_eeg.mat,9954c323553865741a6a4685e17a25e9f07e6ad4a53d19568f7ae301d12ed025,40,20,20,"[40, 29, 1000]",1002,1010
sub-18,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-18/sub-18_task-motor-imagery_eeg.mat,648407b99f0ab85580907cd6fea17faf05e4fe89e607b47749d905f770970556,40,20,20,"[40, 29, 1000]",1001,1005
sub-19,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-19/sub-19_task-motor-imagery_eeg.mat,cb0f1a178b68613bf2edbbbcba6ea378cc57340f4a7a4aa576907af4f84e514b,40,20,20,"[40, 29, 1000]",1002,1010
sub-20,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-20/sub-20_task-motor-imagery_eeg.mat,83dd4c5c37ba116ea53f6e944d97b8cc06719835a8fefbf5b18d33d802cfaf5b,40,20,20,"[40, 29, 1000]",1,1200
sub-21,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-21/sub-21_task-motor-imagery_eeg.mat,2b989590407ddbeb541c87f976127642cca97d9bcc39f87a9a289083ef47e7b6,40,20,20,"[40, 29, 1000]",1006,1011
sub-22,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-22/sub-22_task-motor-imagery_eeg.mat,ddb1b2f7583840533f18862081a55b546cf4d5d3e9d893ce282006ed1f419ca5,40,20,20,"[40, 29, 1000]",1,1004
sub-23,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-23/sub-23_task-motor-imagery_eeg.mat,649158d4daa56c27fce48213c09e739f1929e27161cdb6d5485521bbc569f851,40,20,20,"[40, 29, 1000]",1007,1012
sub-24,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-24/sub-24_task-motor-imagery_eeg.mat,de9285c4a9334b9b1236fd2a093555fe7e3cb7bc328da7c8f4ae6ad79351eedc,40,20,20,"[40, 29, 1000]",1,1015
sub-25,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-25/sub-25_task-motor-imagery_eeg.mat,05591f4f8614c797525326e97e66beaf7f1bc6ca6d4ed2f09b6c9b7fc0d6e384,40,20,20,"[40, 29, 1000]",1,1010
sub-26,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-26/sub-26_task-motor-imagery_eeg.mat,a94e6e0c8dd69d46e12b7f64cc45ce2e875bf16ab1f3b12e619ac492bd83fb88,40,20,20,"[40, 29, 1000]",1007,1011
sub-27,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-27/sub-27_task-motor-imagery_eeg.mat,641c8ef9b78787415c59381b1d72eaba8e284c29e28b9780352565058fcc2da3,40,20,20,"[40, 29, 1000]",1003,1010
sub-28,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-28/sub-28_task-motor-imagery_eeg.mat,28da6cde7187805ca628fdbfc4aafdf898b1e53f1f0cdbe41785a3691ded85a1,40,20,20,"[40, 29, 1000]",1007,1011
sub-29,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-29/sub-29_task-motor-imagery_eeg.mat,d35e5344dc975ef42ee52731a1f6beadee4b3015f06a1f0e2fac2157fac59229,40,20,20,"[40, 29, 1000]",1,1011
sub-30,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-30/sub-30_task-motor-imagery_eeg.mat,ebd43daa9b199557a3ead37c466f6a8b85a9f0b9747863c173b0b55ffc5d16b6,40,20,20,"[40, 29, 1000]",1,1011
sub-31,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-31/sub-31_task-motor-imagery_eeg.mat,194838f765a680ecf04e8d8b08000febb818025eda9a2583e3a7b0efefcc86f4,40,20,20,"[40, 29, 1000]",1007,1011
sub-32,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-32/sub-32_task-motor-imagery_eeg.mat,b0dd01678f127ea166c533859245257ab99d2244eb2a3fe0b5336eb25fac56f1,40,20,20,"[40, 29, 1000]",1006,1011
sub-33,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-33/sub-33_task-motor-imagery_eeg.mat,b073054124fbe38d414360e64e9fe5a593acb483b587b7a8ef0cc8e9420475e4,40,20,20,"[40, 29, 1000]",1006,1011
sub-34,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-34/sub-34_task-motor-imagery_eeg.mat,07ee99ccc56028340fabb9ca68c496e6a9abe982f5a1b5ffb095fdff2177dfad,40,20,20,"[40, 29, 1000]",1007,1011
sub-35,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-35/sub-35_task-motor-imagery_eeg.mat,1aaf49b2edea9bf78258a7eda721e9c6d2d0352450175af580a7c77b9f6de523,40,20,20,"[40, 29, 1000]",1003,1011
sub-36,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-36/sub-36_task-motor-imagery_eeg.mat,d52108a385865a995aa46c0a5eaef58ed7c2f1b91f8b28922a82534e2359d0b8,40,20,20,"[40, 29, 1000]",1007,1011
sub-37,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-37/sub-37_task-motor-imagery_eeg.mat,25151128143a08e5e2420e140679d8342ae76d6a0514aa86f04a5d8f307b5745,40,20,20,"[40, 29, 1000]",1006,1010
sub-38,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-38/sub-38_task-motor-imagery_eeg.mat,396d24ba5c1dfbb5ce78250b00932af1d08b1f5b84a351533fa2b268cf916535,40,20,20,"[40, 29, 1000]",1006,1010
sub-39,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-39/sub-39_task-motor-imagery_eeg.mat,ec12602ae762a42df89c69c4a5c569fae063a9d7a178e1a5ded388201a4d920f,40,20,20,"[40, 29, 1000]",1003,1011
sub-40,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-40/sub-40_task-motor-imagery_eeg.mat,1f47adfd9c3155917492f4fa26d1aefcec7ab4051221a14a03e7a113b1aef138,40,20,20,"[40, 29, 1000]",1,1150
sub-41,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-41/sub-41_task-motor-imagery_eeg.mat,a2818ce0fb5dc743c6157f504714768b7efc10f116c93ce142db75c9d2929aba,40,20,20,"[40, 29, 1000]",1006,1011
sub-42,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-42/sub-42_task-motor-imagery_eeg.mat,8475dfc37afaf6323b8fa9aea8c91c18dc5fed2f06b6043ca6546d8679bd8d50,40,20,20,"[40, 29, 1000]",1007,1011
sub-43,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-43/sub-43_task-motor-imagery_eeg.mat,22ddc0297f0a9fc3ae1b798cf267cfdd42a440053091dbe6b4845e4548545efc,40,20,20,"[40, 29, 1000]",1002,1010
sub-44,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-44/sub-44_task-motor-imagery_eeg.mat,602d3b1d567be7f926b89d3c4a0df1e53f4c36e3827418ce18912c09157baccf,40,20,20,"[40, 29, 1000]",1002,1011
sub-45,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-45/sub-45_task-motor-imagery_eeg.mat,f1c799fe353b4e4da313006eed44887abc526961f50ccdfe88b4a58ce734961a,40,20,20,"[40, 29, 1000]",1001,1011
sub-46,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-46/sub-46_task-motor-imagery_eeg.mat,6313cd487f89fdc060aa655ba99da1be28f45606cc037e0f64f0c03ddb0dd95b,40,20,20,"[40, 29, 1000]",1002,1010
sub-47,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-47/sub-47_task-motor-imagery_eeg.mat,0f543a13317dbc94f7bbfbd36c1840bbb5da5cd3f35e8a242c850d4a8c0efcf6,40,20,20,"[40, 29, 1000]",1005,1011
sub-48,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-48/sub-48_task-motor-imagery_eeg.mat,1b663162d9943646e15c0e8ef3de90eee33e7d3b84a57b42ee5f34eb596ebeec,40,20,20,"[40, 29, 1000]",1,1011
sub-49,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-49/sub-49_task-motor-imagery_eeg.mat,4e92c7e8e0e8f68ebdd61be935e30bc39c9e9c5871ada25748707bc441350b42,40,20,20,"[40, 29, 1000]",1005,1011
sub-50,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-50/sub-50_task-motor-imagery_eeg.mat,8832132468f03250a3f4eef8ed36759c6737d1e815440e7e048cc26e836cecb8,40,20,20,"[40, 29, 1000]",1002,1012
