subject_id,n_windows,class_counts,preprocessed_shape,resampled_samples_per_trial,crop_start_sample,crop_stop_sample,target_window_samples,effective_window_duration_s,preprocessing_path,source_values_assumed,model_input_units_before_fold_standardization
19,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
20,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
21,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
22,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
23,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
24,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
25,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
26,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
27,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
28,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
29,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
30,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
31,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
32,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
33,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
34,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
35,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
36,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
37,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
38,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
39,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
40,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
41,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
42,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
43,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
44,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
45,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
46,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
47,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
48,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
49,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
50,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
