subject_id,qc_scope,n_trials,marker_valid_count,marker_fallback_count,marker_valid_fraction,finite_fraction,channel_sd_median,robust_sd_median,robust_sd_min,robust_sd_max,peak_to_peak_median,peak_to_peak_p95,clipped_fraction,extreme_fraction,flat_channel_count,line_50hz_ratio,hf_30_40_to_8_30_ratio,channel_variance_log_iqr,motor13_cov_effective_rank_mean,motor13_cov_condition_median,split_half_log_bandpower_reliability
sub-11,full_recording_transductive_label_blind,40,40,0,1.0,1.0,19.458398665321553,10.58781347725381,6.196936213605454,32.152820113640644,84.55664927442649,247.08065355785402,0.0,0.001828448275862069,0,0.7900576361696044,0.13264290773130233,1.7444531988732237,4.8540575812609905,188.09862687620446,0.940842225082385
sub-12,full_recording_transductive_label_blind,40,40,0,1.0,1.0,58.72407890151256,38.88826014259485,12.062485463916362,132.7204787994004,175.45001810193156,528.8154517192194,0.0,2.2413793103448276e-05,0,0.9143440947896686,0.06744525255544079,2.1964700184337946,4.641560987103489,550.3623943916145,0.9930876805170356
sub-13,full_recording_transductive_label_blind,40,39,1,0.975,1.0,142.97862399419765,57.32081306335278,20.314020849944768,539.5642536359114,321.8539442841943,1438.276641163423,1.5086206896551724e-06,1.5086206896551724e-06,0,0.631508256385986,0.04935129169610877,2.584774166402381,1.1144005951473759,10739.40323912798,0.9959227582028309
sub-14,full_recording_transductive_label_blind,40,38,2,0.95,1.0,24.59976622057395,14.282778117985911,6.2632136062638235,27.902782309385426,85.40601556372894,233.43603115511294,0.0,0.0005978448275862069,0,0.5699318419786755,0.12735597305131688,0.7211085985503054,4.313227444705673,467.0426540339183,0.9915693166995728
sub-15,full_recording_transductive_label_blind,40,40,0,1.0,1.0,289.6978349472862,370.52187841311905,368.07712607518374,377.6606753209329,1061.2620798042635,1242.6287226029926,0.0,0.0,0,0.19874950360394217,0.45112486456751266,0.019415266251776586,12.581887141847087,2.4068830998371302,0.9730162722495957
sub-16,full_recording_transductive_label_blind,40,40,0,1.0,1.0,106.13607310333428,75.57279697928305,25.74876704797155,152.48771115990922,314.857848269683,777.9144678013884,2.1551724137931034e-07,0.00034094827586206896,0,0.6963908867431543,0.05361497163505412,0.6899501330092264,4.1437310445273186,445.44965040037,0.9892468938251785
sub-17,full_recording_transductive_label_blind,40,40,0,1.0,1.0,15.054920630798287,12.228178945561613,6.1637975172755946,23.163948734277596,81.59504313409798,201.97036289815514,0.0,0.00026185344827586206,0,0.6279302792821053,0.0730452836583975,1.1825127132188085,4.254149985526728,487.3219988868376,0.9900303319175264
sub-18,full_recording_transductive_label_blind,40,40,0,1.0,1.0,81.36727747227108,36.76738357751175,24.854022247078838,82.98574243935926,198.25997331857343,665.6662423212812,0.0,0.0002711206896551724,0,0.7100907710942217,0.29905244218812965,0.6267507782371791,4.337835580372128,299.07013729397,0.9871261534027783
sub-19,full_recording_transductive_label_blind,40,40,0,1.0,1.0,68.37406986504216,32.658185232662234,12.526427212527732,229.5517494740191,179.57391495393586,884.7468655999735,0.0,0.0035129310344827586,0,0.9040027660486792,0.06004834535335979,1.7979174791014376,3.881461170342605,961.794001329285,0.9910427465316528
sub-20,full_recording_transductive_label_blind,40,39,1,0.975,1.0,79.56140166847567,56.186659626565586,22.65029894117152,145.89311059035356,245.37745063036073,818.3174810787976,0.0,2.392241379310345e-05,0,0.6070746393196165,0.11781665221070427,1.5924613899967648,3.919480022648041,1459.9002650521234,0.9588835940266281
sub-21,full_recording_transductive_label_blind,40,40,0,1.0,1.0,90.8809641976178,57.56191552422912,11.548835670810288,154.84884327337866,256.8215437914787,818.8516877712817,0.0,0.00040344827586206896,0,0.6986170349110083,0.17004571502855498,2.145524900447775,4.927207898562848,559.6440738362999,0.9910681564518788
sub-22,full_recording_transductive_label_blind,40,38,2,0.95,1.0,97.36496271311006,50.2879716799228,24.191248320489745,167.49125592306217,263.1247357278744,709.4790142153527,0.0,0.0,0,0.2515876136291427,0.2585779829186965,0.7410477865324481,4.108947021838937,332.9537170736266,0.9921137413163854
sub-23,full_recording_transductive_label_blind,40,40,0,1.0,1.0,16.86441450107106,13.719420280389093,8.152119297042873,17.580078402767793,77.24762883754101,161.52376371905336,0.0,1.896551724137931e-05,0,0.23541003557875467,0.04061718238247399,0.8083412122671794,3.524194433990709,861.9718797119435,0.9940310873070363
sub-24,full_recording_transductive_label_blind,40,39,1,0.975,1.0,51.91942152162988,21.810668454421762,12.327595034551189,54.74512633623154,130.1318562187982,605.9211469794684,0.0,0.006755387931034483,0,0.4499257054908392,0.20166958887946712,2.4704117078579433,4.306309135465365,395.0861990562887,0.9796680388293834
sub-25,full_recording_transductive_label_blind,40,39,1,0.975,1.0,90.39528699770467,67.66921790471211,14.31591681431712,219.87525014582428,326.7713280643611,789.2389791296722,0.0,3.836206896551724e-05,0,0.3290156000744763,0.09954810569188785,1.2838727774798642,3.7384501449950776,477.93287769531815,0.9771035639313806
sub-26,full_recording_transductive_label_blind,40,40,0,1.0,1.0,18.21309205077128,13.25547853177646,7.62190015577052,37.39701880777129,90.05517841043184,275.2136767165266,0.0,0.00025668103448275864,0,0.7974131836661508,0.21678713093797325,0.6426991897293366,3.0728186606965293,1081.3650671595055,0.9934537414806598
sub-27,full_recording_transductive_label_blind,40,40,0,1.0,1.0,140.35799800674894,77.08060766227332,14.895844000082576,244.59671760758368,343.64689512811833,1047.7939007036573,0.0,0.0021592672413793105,0,0.2090563039813227,0.06251491140765358,1.6309388254515014,3.40988839643476,742.9991040861585,0.9931313345692355
sub-28,full_recording_transductive_label_blind,40,40,0,1.0,1.0,11.864924384574476,12.476719168034208,4.175475737508317,62.06877822503873,67.12228859928655,243.36579362938363,0.0,0.0,0,0.9917882909723335,0.08985432521425743,1.2839996409111771,3.564921400887844,880.3261718527266,0.9950649967344044
sub-29,full_recording_transductive_label_blind,40,37,3,0.925,1.0,62.2376691018893,22.33548132604123,9.543944542869989,47.83570815154423,127.60610909534807,467.22969022151113,0.0,0.003665948275862069,0,0.2577961930069573,0.1145428684043853,2.3555030586739774,4.122551292702631,343.5889011433271,0.9969033584545591
sub-30,full_recording_transductive_label_blind,40,39,1,0.975,1.0,41.71065403804963,25.88132183329124,9.46109780206287,63.212063248404036,132.40055828101208,296.1550260967056,0.0,0.0,0,0.8263831868467697,0.12494018064031409,0.5413689090395213,4.696710812083195,174.64612461529862,0.9827452552536371
sub-31,full_recording_transductive_label_blind,40,40,0,1.0,1.0,43.783837163518456,29.344315599716772,19.121027782086017,73.25308823622191,160.12789727782024,404.9465542967977,0.0,0.0002905172413793103,0,0.7795201951977517,0.05135092064531942,0.7539633211907626,4.024813746741027,495.1583359602737,0.996979886874828
sub-32,full_recording_transductive_label_blind,40,40,0,1.0,1.0,25.629256414577682,18.060589499544008,6.793432747534828,88.06608549548557,89.3958019490019,340.16672851642807,0.0,0.0,0,0.9191696881022177,0.11765805206784652,1.8080884179036296,4.207341247134389,251.89815400194635,0.9902971167762278
sub-33,full_recording_transductive_label_blind,40,40,0,1.0,1.0,97.10823285055372,60.46155145306011,40.90143594460885,132.28139107303582,297.4011358500893,735.3265715034689,0.0,0.0006898706896551725,0,0.2490283046006433,0.17326672378578395,0.7023816794696316,4.157818610181293,525.7035522290612,0.9799645442132812
sub-34,full_recording_transductive_label_blind,40,40,0,1.0,1.0,83.48564921644767,21.07621086552209,10.107302380478943,75.87104524625111,110.77524552050181,638.9357911271791,0.0,0.009457543103448277,0,0.40305473030296995,0.11770691160113342,1.6827833454086187,4.200084065954397,365.5972016767454,0.9892618079891929
sub-35,full_recording_transductive_label_blind,40,40,0,1.0,1.0,254.9842433793099,157.5330776760676,67.32126159325372,309.1343287091632,630.7774044009934,1580.8897114860656,0.0,0.0004459051724137931,0,0.23955106973555185,0.09080303862521569,1.3572312782658909,4.755371014100614,289.47873993441533,0.9919409803297408
sub-36,full_recording_transductive_label_blind,40,40,0,1.0,1.0,30.365932472827353,21.573291310464583,15.542048578507076,31.862856520754885,118.58718020763217,262.1289655123909,0.0,1.0775862068965516e-05,0,0.7147992212731722,0.11354194185692112,0.39758119714347373,4.391035544001776,411.2067577788677,0.9914291151259694
sub-37,full_recording_transductive_label_blind,40,40,0,1.0,1.0,105.44442050062533,35.20986485003172,16.602486861049083,91.18112295044918,181.5967478271432,797.4554803914401,0.0,0.005060775862068966,0,0.9988227116223579,0.0449887027081764,0.29273877793019487,3.7829563959201726,348.26540361282036,0.9391793309277041
sub-38,full_recording_transductive_label_blind,40,40,0,1.0,1.0,36.999123651212884,21.772123488439693,6.859710140194546,137.40960433001615,100.7169605156123,514.3806951499815,0.0,0.0008995689655172414,0,0.9216074530578442,0.16187467812092524,2.512521528861602,4.321833760568966,197.27963426625166,0.9893805956971308
sub-39,full_recording_transductive_label_blind,40,40,0,1.0,1.0,134.3825032902696,103.01163754006058,11.532266322645357,239.8164606620615,383.17595519732913,915.6839151005654,0.0,0.0008995689655172414,0,0.36465071283153283,0.1323210678380472,2.316318202413129,4.032666939720622,313.67522590113583,0.9820972543917189
sub-40,full_recording_transductive_label_blind,40,37,3,0.925,1.0,174.97411566741724,120.34317572035577,47.620306625402165,220.1072210201279,563.1857291681436,1174.0320830383398,0.0,0.0,0,0.29731346966381056,0.09357331900440591,1.3390993162962008,3.5796903060417735,371.55551561953456,0.9904550455213551
sub-41,full_recording_transductive_label_blind,40,40,0,1.0,1.0,59.21389269929826,34.62993766426298,14.100515288175732,85.05046412950344,149.11966313358153,486.323667922457,0.0,0.00023426724137931034,0,0.7324529478006453,0.15078106635014535,1.1144938479175153,3.793890007310138,713.2521519463132,0.9890494966353782
sub-42,full_recording_transductive_label_blind,40,40,0,1.0,1.0,97.51227168005751,55.267060803420755,33.76833155969701,122.31492815195946,254.40755539030516,599.2469160851115,4.310344827586207e-07,8.620689655172414e-07,0,0.9821297119812337,0.06768613685427197,0.530286631206522,3.8407753560908757,297.065570671936,0.9552840990542588
sub-43,full_recording_transductive_label_blind,40,40,0,1.0,1.0,74.86072232251252,22.666868289335103,13.255478531775111,75.17513262333081,133.39521090927292,617.7575132557764,0.0,0.007802370689655173,0,0.5541433734030952,0.10187068445741368,1.395535387690014,3.368033124723108,1270.7493003978593,0.9965594265215201
sub-44,full_recording_transductive_label_blind,40,40,0,1.0,1.0,16.228393239714663,11.250587403842903,8.052703208055991,61.33972690579261,66.39585690448985,247.34105138075955,0.0,0.0004127155172413793,0,0.45766001413944757,0.17386305303180777,0.8690462216677082,4.027502188082283,334.59867780601746,0.9822168568984347
sub-45,full_recording_transductive_label_blind,40,40,0,1.0,1.0,55.92357133651897,43.33713012482114,17.298399483968037,90.94915207614152,209.4581972906817,438.29647461133914,0.0,0.00023383620689655172,0,0.33242691002257174,0.33467823803551394,0.7694443775311788,4.472226114681438,202.05986489425428,0.9853865693380519
sub-46,full_recording_transductive_label_blind,40,40,0,1.0,1.0,26.502379764752863,20.8608093393807,11.929930678598273,36.73424488118367,133.0152312535322,249.96626376703568,0.0,0.00015495689655172415,0,0.7804475403106613,0.02532995911232782,0.6392982506276272,3.9094127076252887,618.3375435827973,0.9957566242592875
sub-47,full_recording_transductive_label_blind,40,40,0,1.0,1.0,20.838643541575063,16.68533360187508,8.64919974198267,36.48570465871108,91.65332813898658,242.26944056385145,0.0,0.001425646551724138,0,0.8974107365186641,0.11576490264687722,1.165991775865522,4.034111593261161,275.4205060921567,0.9914164959217245
sub-48,full_recording_transductive_label_blind,40,38,2,0.95,1.0,17.60536206546082,15.115068947379555,8.085841904383155,28.598694932305055,88.87053595430052,249.17836477498517,0.0,0.00021961206896551724,0,0.5112104473439336,0.1942372470603134,0.7598585745016706,5.109797698967843,149.89301437522096,0.9931019065908372
sub-49,full_recording_transductive_label_blind,40,40,0,1.0,1.0,289.4060994021556,370.7659977028948,369.4744368949101,375.623415378862,1056.1698905429657,1181.5720924948673,0.0,0.0,0,0.20030007980187786,0.45029543829044116,0.00441942426361841,12.595308063487172,2.3472263456887443,0.9814621251624476
sub-50,full_recording_transductive_label_blind,40,40,0,1.0,1.0,183.8741103449118,112.14963305289855,48.23337250749723,183.6380857095831,479.8472499665321,1114.9005430818256,0.0,0.0,0,0.43589092964516085,0.08558444356722258,0.5333380937141978,4.63995561168875,223.98931538646923,0.9877983370181607
