subject_id,path,n_trials,subject_split_hash
sub-29,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-29/sub-29_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-30,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-30/sub-30_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-31,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-31/sub-31_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-32,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-32/sub-32_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-33,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-33/sub-33_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-34,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-34/sub-34_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-35,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-35/sub-35_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-36,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-36/sub-36_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-37,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-37/sub-37_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-38,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-38/sub-38_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-39,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-39/sub-39_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-40,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-40/sub-40_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-41,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-41/sub-41_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-42,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-42/sub-42_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-43,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-43/sub-43_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-44,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-44/sub-44_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-45,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-45/sub-45_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-46,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-46/sub-46_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-47,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-47/sub-47_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-48,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-48/sub-48_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-49,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-49/sub-49_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-50,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-50/sub-50_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
