method_name,subject_id,repeat_id,train_class_counts,test_class_counts
CSP_LDA,6,5,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,6,6,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,6,7,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,6,8,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,6,9,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,6,10,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,7,1,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,7,2,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,7,3,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,7,4,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,7,5,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,7,6,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,7,7,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,7,8,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,7,9,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,7,10,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,8,1,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,8,2,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,8,3,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,8,4,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,8,5,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,8,6,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,8,7,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,8,8,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,8,9,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,8,10,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,9,1,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,9,2,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,9,3,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,9,4,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,9,5,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,9,6,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,9,7,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,9,8,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,9,9,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,9,10,"{1: 9, 2: 15}","{1: 11, 2: 5}"
CSP_LDA,10,1,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,10,2,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,10,3,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,10,4,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,10,5,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,10,6,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,10,7,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,10,8,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,10,9,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,10,10,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,11,1,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,11,2,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,11,3,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,11,4,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,11,5,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,11,6,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,11,7,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,11,8,"{1: 9, 2: 15}","{1: 11, 2: 5}"
CSP_LDA,11,9,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,11,10,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,12,1,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,12,2,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,12,3,"{1: 9, 2: 15}","{1: 11, 2: 5}"
CSP_LDA,12,4,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,12,5,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,12,6,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,12,7,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,12,8,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,12,9,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,12,10,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,13,1,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,13,2,"{1: 9, 2: 15}","{1: 11, 2: 5}"
CSP_LDA,13,3,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,13,4,"{1: 16, 2: 8}","{1: 4, 2: 12}"
CSP_LDA,13,5,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,13,6,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,13,7,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,13,8,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,13,9,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,13,10,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,14,1,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,14,2,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,14,3,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,14,4,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,14,5,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,14,6,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,14,7,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,14,8,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,14,9,"{1: 7, 2: 17}","{1: 13, 2: 3}"
CSP_LDA,14,10,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,15,1,"{1: 8, 2: 16}","{1: 12, 2: 4}"
CSP_LDA,15,2,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,15,3,"{1: 9, 2: 15}","{1: 11, 2: 5}"
CSP_LDA,15,4,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,15,5,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,15,6,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,15,7,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,15,8,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,15,9,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,15,10,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,16,1,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,16,2,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,16,3,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,16,4,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,16,5,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,16,6,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,16,7,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,16,8,"{1: 8, 2: 16}","{1: 12, 2: 4}"
CSP_LDA,16,9,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,16,10,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,17,1,"{1: 9, 2: 15}","{1: 11, 2: 5}"
CSP_LDA,17,2,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,17,3,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,17,4,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,17,5,"{1: 15, 2: 9}","{1: 5, 2: 11}"
CSP_LDA,17,6,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,17,7,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,17,8,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,17,9,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,17,10,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,18,1,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,18,2,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,18,3,"{1: 15, 2: 9}","{1: 5, 2: 11}"
CSP_LDA,18,4,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,18,5,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,18,6,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,18,7,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,18,8,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,18,9,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,18,10,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,19,1,"{1: 9, 2: 15}","{1: 11, 2: 5}"
CSP_LDA,19,2,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,19,3,"{1: 9, 2: 15}","{1: 11, 2: 5}"
CSP_LDA,19,4,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,19,5,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,19,6,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,19,7,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,19,8,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,19,9,"{1: 9, 2: 15}","{1: 11, 2: 5}"
CSP_LDA,19,10,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,20,1,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,20,2,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,20,3,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,20,4,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,20,5,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,20,6,"{1: 9, 2: 15}","{1: 11, 2: 5}"
CSP_LDA,20,7,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,20,8,"{1: 15, 2: 9}","{1: 5, 2: 11}"
CSP_LDA,20,9,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,20,10,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,21,1,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,21,2,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,21,3,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,21,4,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,21,5,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,21,6,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,21,7,"{1: 16, 2: 8}","{1: 4, 2: 12}"
CSP_LDA,21,8,"{1: 15, 2: 9}","{1: 5, 2: 11}"
CSP_LDA,21,9,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,21,10,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,22,1,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,22,2,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,22,3,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,22,4,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,22,5,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,22,6,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,22,7,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,22,8,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,22,9,"{1: 8, 2: 16}","{1: 12, 2: 4}"
CSP_LDA,22,10,"{1: 9, 2: 15}","{1: 11, 2: 5}"
CSP_LDA,23,1,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,23,2,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,23,3,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,23,4,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,23,5,"{1: 15, 2: 9}","{1: 5, 2: 11}"
CSP_LDA,23,6,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,23,7,"{1: 9, 2: 15}","{1: 11, 2: 5}"
CSP_LDA,23,8,"{1: 15, 2: 9}","{1: 5, 2: 11}"
CSP_LDA,23,9,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,23,10,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,24,1,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,24,2,"{1: 9, 2: 15}","{1: 11, 2: 5}"
CSP_LDA,24,3,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,24,4,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,24,5,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,24,6,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,24,7,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,24,8,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,24,9,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,24,10,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,25,1,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,25,2,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,25,3,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,25,4,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,25,5,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,25,6,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,25,7,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,25,8,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,25,9,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,25,10,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,26,1,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,26,2,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,26,3,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,26,4,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,26,5,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,26,6,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,26,7,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,26,8,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,26,9,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,26,10,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,27,1,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,27,2,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,27,3,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,27,4,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,27,5,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,27,6,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,27,7,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,27,8,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,27,9,"{1: 8, 2: 16}","{1: 12, 2: 4}"
CSP_LDA,27,10,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,28,1,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,28,2,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,28,3,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,28,4,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,28,5,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,28,6,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,28,7,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,28,8,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,28,9,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,28,10,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,29,1,"{1: 17, 2: 7}","{1: 3, 2: 13}"
CSP_LDA,29,2,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,29,3,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,29,4,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,29,5,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,29,6,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,29,7,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,29,8,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,29,9,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,29,10,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,30,1,"{1: 9, 2: 15}","{1: 11, 2: 5}"
CSP_LDA,30,2,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,30,3,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,30,4,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,30,5,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,30,6,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,30,7,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,30,8,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,30,9,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,30,10,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,31,1,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,31,2,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,31,3,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,31,4,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,31,5,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,31,6,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,31,7,"{1: 15, 2: 9}","{1: 5, 2: 11}"
CSP_LDA,31,8,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,31,9,"{1: 9, 2: 15}","{1: 11, 2: 5}"
CSP_LDA,31,10,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,32,1,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,32,2,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,32,3,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,32,4,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,32,5,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,32,6,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,32,7,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,32,8,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,32,9,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,32,10,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,33,1,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,33,2,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,33,3,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,33,4,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,33,5,"{1: 9, 2: 15}","{1: 11, 2: 5}"
CSP_LDA,33,6,"{1: 9, 2: 15}","{1: 11, 2: 5}"
CSP_LDA,33,7,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,33,8,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,33,9,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,33,10,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,34,1,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,34,2,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,34,3,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,34,4,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,34,5,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,34,6,"{1: 8, 2: 16}","{1: 12, 2: 4}"
CSP_LDA,34,7,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,34,8,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,34,9,"{1: 15, 2: 9}","{1: 5, 2: 11}"
CSP_LDA,34,10,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,35,1,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,35,2,"{1: 9, 2: 15}","{1: 11, 2: 5}"
CSP_LDA,35,3,"{1: 9, 2: 15}","{1: 11, 2: 5}"
CSP_LDA,35,4,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,35,5,"{1: 9, 2: 15}","{1: 11, 2: 5}"
CSP_LDA,35,6,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,35,7,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,35,8,"{1: 12, 2: 12}","{1: 8, 2: 8}"
