subject_id,n_windows,class_counts,preprocessed_shape,resampled_samples_per_trial,crop_start_sample,crop_stop_sample,target_window_samples,effective_window_duration_s,source_values_assumed,final_model_units,preprocessing_order
31,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
32,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
33,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
34,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
35,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
36,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
37,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
38,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
39,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
40,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
41,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
42,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
43,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
44,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
45,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
46,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
47,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
48,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
49,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
50,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
