subject_id,path,rawdata_shape,label_values
19,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-19/sub-19_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
20,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-20/sub-20_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
21,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-21/sub-21_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
22,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-22/sub-22_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
23,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-23/sub-23_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
24,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-24/sub-24_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
25,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-25/sub-25_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
26,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-26/sub-26_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
27,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-27/sub-27_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
28,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-28/sub-28_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
29,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-29/sub-29_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
30,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-30/sub-30_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
31,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-31/sub-31_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
32,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-32/sub-32_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
33,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-33/sub-33_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
34,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-34/sub-34_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
35,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-35/sub-35_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
36,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-36/sub-36_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
37,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-37/sub-37_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
38,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-38/sub-38_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
39,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-39/sub-39_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
40,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-40/sub-40_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
41,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-41/sub-41_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
42,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-42/sub-42_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
43,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-43/sub-43_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
44,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-44/sub-44_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
45,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-45/sub-45_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
46,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-46/sub-46_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
47,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-47/sub-47_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
48,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-48/sub-48_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
49,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-49/sub-49_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
50,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-50/sub-50_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
