subject,session,run,sfreq,n_times,duration_s,n_channels,ch_type_counts,n_annotations,annotation_descriptions,first_time,meas_date,line_freq,highpass,lowpass
25,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:59:18+00:00,,0.0,250.0
26,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:59:20+00:00,,0.0,250.0
27,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:59:23+00:00,,0.0,250.0
28,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:59:25+00:00,,0.0,250.0
29,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:59:28+00:00,,0.0,250.0
30,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:59:30+00:00,,0.0,250.0
31,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:59:33+00:00,,0.0,250.0
32,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:59:35+00:00,,0.0,250.0
33,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:59:38+00:00,,0.0,250.0
34,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:59:40+00:00,,0.0,250.0
35,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:59:43+00:00,,0.0,250.0
36,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:59:45+00:00,,0.0,250.0
37,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:59:48+00:00,,0.0,250.0
38,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:59:50+00:00,,0.0,250.0
39,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:59:53+00:00,,0.0,250.0
40,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:59:55+00:00,,0.0,250.0
41,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:59:58+00:00,,0.0,250.0
42,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 19:00:01+00:00,,0.0,250.0
43,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 19:00:03+00:00,,0.0,250.0
44,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 19:00:06+00:00,,0.0,250.0
45,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 19:00:09+00:00,,0.0,250.0
46,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 19:00:11+00:00,,0.0,250.0
47,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 19:00:14+00:00,,0.0,250.0
48,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 19:00:16+00:00,,0.0,250.0
49,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 19:00:19+00:00,,0.0,250.0
50,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 19:00:21+00:00,,0.0,250.0
