plot,page,selection_reason,subject_id,band,channel,metric,value,polarity
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-12Hz,T4,cohort_mean_signed_hedges_g,-0.015094827447267872,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-12Hz,CP3,cohort_mean_signed_hedges_g,-0.06709182332582986,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-12Hz,CP4,cohort_mean_signed_hedges_g,0.02834384698005021,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-12Hz,TP7,cohort_mean_signed_hedges_g,-0.03802376828334221,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-12Hz,TP8,cohort_mean_signed_hedges_g,0.006966393634220504,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-12Hz,Pz,cohort_mean_signed_hedges_g,0.034671745612365405,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-12Hz,P3,cohort_mean_signed_hedges_g,-0.0779062014379476,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-12Hz,P4,cohort_mean_signed_hedges_g,0.06836487926931727,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-12Hz,T5,cohort_mean_signed_hedges_g,-0.032997329018735144,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-12Hz,T6,cohort_mean_signed_hedges_g,0.04374651237541047,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-12Hz,Oz,cohort_mean_signed_hedges_g,0.04881150787786788,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-12Hz,O1,cohort_mean_signed_hedges_g,-0.027689966182245937,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-12Hz,O2,cohort_mean_signed_hedges_g,0.06940077697049092,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,13-20Hz,Fp1,cohort_mean_signed_hedges_g,-0.03485695530895355,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,13-20Hz,Fp2,cohort_mean_signed_hedges_g,0.011472669626443908,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,13-20Hz,Fz,cohort_mean_signed_hedges_g,0.013385508788986868,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,13-20Hz,F3,cohort_mean_signed_hedges_g,0.05007115789260961,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,13-20Hz,F4,cohort_mean_signed_hedges_g,0.020275429281059867,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,13-20Hz,F7,cohort_mean_signed_hedges_g,0.0320776814356536,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,13-20Hz,F8,cohort_mean_signed_hedges_g,-0.03352691834010977,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,13-20Hz,FCz,cohort_mean_signed_hedges_g,0.029693494329736635,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,13-20Hz,FC3,cohort_mean_signed_hedges_g,0.020098239490188522,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,13-20Hz,FC4,cohort_mean_signed_hedges_g,0.03733904597825142,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,13-20Hz,FT7,cohort_mean_signed_hedges_g,-0.021169729870655556,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,13-20Hz,FT8,cohort_mean_signed_hedges_g,-0.0009245704740200728,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,13-20Hz,Cz,cohort_mean_signed_hedges_g,0.06511936168774984,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,13-20Hz,C3,cohort_mean_signed_hedges_g,-0.051812727497597875,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,13-20Hz,C4,cohort_mean_signed_hedges_g,0.0856115651166207,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,13-20Hz,T3,cohort_mean_signed_hedges_g,-0.016820425676304963,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,13-20Hz,T4,cohort_mean_signed_hedges_g,0.04287979268662498,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,13-20Hz,CP3,cohort_mean_signed_hedges_g,-0.08401267285340336,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,13-20Hz,CP4,cohort_mean_signed_hedges_g,0.13430464640991605,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,13-20Hz,TP7,cohort_mean_signed_hedges_g,0.013105770913249269,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,13-20Hz,TP8,cohort_mean_signed_hedges_g,0.016115644413070056,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,13-20Hz,Pz,cohort_mean_signed_hedges_g,0.01989678020456791,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,13-20Hz,P3,cohort_mean_signed_hedges_g,-0.058682566927049706,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,13-20Hz,P4,cohort_mean_signed_hedges_g,0.10558335221746307,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,13-20Hz,T5,cohort_mean_signed_hedges_g,0.025236522220726962,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,13-20Hz,T6,cohort_mean_signed_hedges_g,0.04174201424305802,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,13-20Hz,Oz,cohort_mean_signed_hedges_g,0.07794274784865644,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,13-20Hz,O1,cohort_mean_signed_hedges_g,0.0021061989199113807,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,13-20Hz,O2,cohort_mean_signed_hedges_g,0.07601491139744213,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,20-30Hz,Fp1,cohort_mean_signed_hedges_g,0.027680075108894465,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,20-30Hz,Fp2,cohort_mean_signed_hedges_g,0.08955743874639228,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,20-30Hz,Fz,cohort_mean_signed_hedges_g,0.07993169543815194,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,20-30Hz,F3,cohort_mean_signed_hedges_g,0.03885641393136622,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,20-30Hz,F4,cohort_mean_signed_hedges_g,0.055959993738567186,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,20-30Hz,F7,cohort_mean_signed_hedges_g,-0.0023474318069206667,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,20-30Hz,F8,cohort_mean_signed_hedges_g,0.037377145810777425,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,20-30Hz,FCz,cohort_mean_signed_hedges_g,0.07368896518650447,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,20-30Hz,FC3,cohort_mean_signed_hedges_g,0.016147305246092904,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,20-30Hz,FC4,cohort_mean_signed_hedges_g,0.033288722685102565,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,20-30Hz,FT7,cohort_mean_signed_hedges_g,0.007102035093977942,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,20-30Hz,FT8,cohort_mean_signed_hedges_g,0.02940652704221323,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,20-30Hz,Cz,cohort_mean_signed_hedges_g,0.061292507800330596,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,20-30Hz,C3,cohort_mean_signed_hedges_g,-0.024142710078694375,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,20-30Hz,C4,cohort_mean_signed_hedges_g,0.04367702096164663,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,20-30Hz,T3,cohort_mean_signed_hedges_g,-0.05638497089778763,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,20-30Hz,T4,cohort_mean_signed_hedges_g,0.06978128439523863,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,20-30Hz,CP3,cohort_mean_signed_hedges_g,0.02467601095002936,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,20-30Hz,CP4,cohort_mean_signed_hedges_g,0.0837297638674325,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,20-30Hz,TP7,cohort_mean_signed_hedges_g,-0.06799952852664033,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,20-30Hz,TP8,cohort_mean_signed_hedges_g,0.020014594584230848,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,20-30Hz,Pz,cohort_mean_signed_hedges_g,0.1274121642842509,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,20-30Hz,P3,cohort_mean_signed_hedges_g,0.03034996401480756,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,20-30Hz,P4,cohort_mean_signed_hedges_g,0.07716082555591919,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,20-30Hz,T5,cohort_mean_signed_hedges_g,-0.01817205584375061,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,20-30Hz,T6,cohort_mean_signed_hedges_g,0.05795674781548593,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,20-30Hz,Oz,cohort_mean_signed_hedges_g,0.03647660139185172,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,20-30Hz,O1,cohort_mean_signed_hedges_g,0.06149410768767483,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,20-30Hz,O2,cohort_mean_signed_hedges_g,0.03171285153963544,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-30Hz,Fp1,cohort_mean_signed_hedges_g,-0.023479477373116668,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-30Hz,Fp2,cohort_mean_signed_hedges_g,0.043756635044732324,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-30Hz,Fz,cohort_mean_signed_hedges_g,0.01886668938524258,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-30Hz,F3,cohort_mean_signed_hedges_g,0.04180753396610506,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-30Hz,F4,cohort_mean_signed_hedges_g,0.023482144263724282,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-30Hz,F7,cohort_mean_signed_hedges_g,0.003502080066958581,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-30Hz,F8,cohort_mean_signed_hedges_g,-0.0314696670721333,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-30Hz,FCz,cohort_mean_signed_hedges_g,0.013961763619488247,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-30Hz,FC3,cohort_mean_signed_hedges_g,0.008844531051612876,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-30Hz,FC4,cohort_mean_signed_hedges_g,0.025999474994864765,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-30Hz,FT7,cohort_mean_signed_hedges_g,-0.013487319938347404,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-30Hz,FT8,cohort_mean_signed_hedges_g,0.005552455687442931,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-30Hz,Cz,cohort_mean_signed_hedges_g,0.05336471258785287,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-30Hz,C3,cohort_mean_signed_hedges_g,-0.07080195650510977,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-30Hz,C4,cohort_mean_signed_hedges_g,0.05517270725842034,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-30Hz,T3,cohort_mean_signed_hedges_g,-0.07619461719494507,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-30Hz,T4,cohort_mean_signed_hedges_g,0.02858576410794858,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-30Hz,CP3,cohort_mean_signed_hedges_g,-0.07432861169673159,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-30Hz,CP4,cohort_mean_signed_hedges_g,0.09491189628786272,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-30Hz,TP7,cohort_mean_signed_hedges_g,-0.03581309851650825,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-30Hz,TP8,cohort_mean_signed_hedges_g,0.01817963176298809,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-30Hz,Pz,cohort_mean_signed_hedges_g,0.048469272987777375,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-30Hz,P3,cohort_mean_signed_hedges_g,-0.060457972601797805,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-30Hz,P4,cohort_mean_signed_hedges_g,0.09640454446649108,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-30Hz,T5,cohort_mean_signed_hedges_g,-0.008030390343435674,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-30Hz,T6,cohort_mean_signed_hedges_g,0.06235165830476973,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-30Hz,Oz,cohort_mean_signed_hedges_g,0.054978003850766274,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-30Hz,O1,cohort_mean_signed_hedges_g,0.012411219276108498,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-30Hz,O2,cohort_mean_signed_hedges_g,0.0717932902705952,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,8-12Hz,Fp1,cohort_mean_log_bandpower_difference,-0.007532073124915606,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,8-12Hz,Fp2,cohort_mean_log_bandpower_difference,-0.002348864500060912,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,8-12Hz,Fz,cohort_mean_log_bandpower_difference,0.02869613013738678,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,8-12Hz,F3,cohort_mean_log_bandpower_difference,0.012811323740286897,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,8-12Hz,F4,cohort_mean_log_bandpower_difference,-0.0026867997443979054,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,8-12Hz,F7,cohort_mean_log_bandpower_difference,-0.024531792462355977,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,8-12Hz,F8,cohort_mean_log_bandpower_difference,-0.042717588731514045,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,8-12Hz,FCz,cohort_mean_log_bandpower_difference,0.017207458409688993,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,8-12Hz,FC3,cohort_mean_log_bandpower_difference,-0.004301182852321553,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,8-12Hz,FC4,cohort_mean_log_bandpower_difference,0.004637478389114964,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,8-12Hz,FT7,cohort_mean_log_bandpower_difference,-0.01692863687860154,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,8-12Hz,FT8,cohort_mean_log_bandpower_difference,-0.04290229735336723,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,8-12Hz,Cz,cohort_mean_log_bandpower_difference,0.024975997498805427,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,8-12Hz,C3,cohort_mean_log_bandpower_difference,-0.00967825301435691,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,8-12Hz,C4,cohort_mean_log_bandpower_difference,0.01924828130512298,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,8-12Hz,T3,cohort_mean_log_bandpower_difference,-0.03257048768057887,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,8-12Hz,T4,cohort_mean_log_bandpower_difference,-0.009288592439973292,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,8-12Hz,CP3,cohort_mean_log_bandpower_difference,-0.022676676813080023,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,8-12Hz,CP4,cohort_mean_log_bandpower_difference,0.021191984605531546,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,8-12Hz,TP7,cohort_mean_log_bandpower_difference,-0.012923653656423784,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,8-12Hz,TP8,cohort_mean_log_bandpower_difference,0.0110327656646436,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,8-12Hz,Pz,cohort_mean_log_bandpower_difference,0.017960134168399474,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,8-12Hz,P3,cohort_mean_log_bandpower_difference,-0.02769175593152001,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,8-12Hz,P4,cohort_mean_log_bandpower_difference,0.03157389017134211,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,8-12Hz,T5,cohort_mean_log_bandpower_difference,-0.002719280189873974,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,8-12Hz,T6,cohort_mean_log_bandpower_difference,0.034801179204354146,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,8-12Hz,Oz,cohort_mean_log_bandpower_difference,0.02170654324910328,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,8-12Hz,O1,cohort_mean_log_bandpower_difference,-0.01024558358380446,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,8-12Hz,O2,cohort_mean_log_bandpower_difference,0.03916272089263566,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,13-20Hz,Fp1,cohort_mean_log_bandpower_difference,-0.005173984608007481,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,13-20Hz,Fp2,cohort_mean_log_bandpower_difference,0.0005495466129860027,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,13-20Hz,Fz,cohort_mean_log_bandpower_difference,0.012376512992183217,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,13-20Hz,F3,cohort_mean_log_bandpower_difference,0.02359262061614076,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,13-20Hz,F4,cohort_mean_log_bandpower_difference,9.329960128435788e-05,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,13-20Hz,F7,cohort_mean_log_bandpower_difference,0.00941502584809907,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,13-20Hz,F8,cohort_mean_log_bandpower_difference,-0.022438372997427222,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,13-20Hz,FCz,cohort_mean_log_bandpower_difference,0.014894532101139944,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,13-20Hz,FC3,cohort_mean_log_bandpower_difference,0.00691381684234247,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,13-20Hz,FC4,cohort_mean_log_bandpower_difference,0.017840461224363034,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,13-20Hz,FT7,cohort_mean_log_bandpower_difference,-0.001885186374590087,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_difference_topomaps.png,1,configured_cohort_mean,,13-20Hz,FT8,cohort_mean_log_bandpower_difference,-0.003664359713985635,right-hand minus left-hand MI-window log bandpower
